date,Legal action,accident_count,agencies,article,author,byline,cited_orgs,completed,date,dominant_topics,footage,how_many_vehicles,injured_number,injured_specific,kicker,killed_number,killed_specific,language,larger_context,link,location,location.1,news_type,ongoing_coverage,order_id,other,pk,potential_causes,rater,rater_notes,rationalized_causes,rationalized_topics,relevance_ranking,report_type,reporter,responsible,road_crash_liable,show,solutions_discussed,source,specific_incident,statistics,statistics_scope,survey,time_od_day,title,tone,transport_categories,vehicle_type
2014-01-02,,hurt:2,,"SAN PEDRO, Laguna, Philippines  A passenger bus bound for Batangas and a softdrink delivery truck figured in a road accident along the South Luzon expressway (SLEx) in Laguna early on Thursday, leaving two persons injured. At past 10 a.m., traffic personnel were still retrieving the delivery truck of RC Cola that swerved and fell into the road embankment, said SLEx traffic and security manager Chito Silbol, in a phone interview. The delivery trucks driver and helper, whose names were not immediately available, were both injured in the accident, he said. Silbol said a unit of the Alps Bus Inc. hit the delivery truck at its rear at around 7:20 a.m. as the two vehicles were nearing the Silangan exit in Calamba City. The impact caused the truck to swerve and fall into the embankment. The police Highway Patrol Group in Laguna was still investigating the cause of the collision, but Silbol said one of the bus passengers told responders that the bus driver seemed sleepy behind the wheel, Silbol said. The bus passengers, he said, were unhurt while the vehicle was turned over to the police.",Maricar Cinco,"12:01 PM | Thursday, January 2nd, 2014","PNP Highway Patrol Group, SLEX Traffic and Security Management",yes,2014-01-02 00:00:00,road crashes,,2.0,2.0,ridergroup: truck driver / ridergroup: truck helper /,,,,english,no,http://newsinfo.inquirer.net/556419/bus-hits-delivery-truck-on-slex-2-hurt,"Laguna, San Pedro, Silangan Exit, SLEX","laguna, batangas, calamba",text,,83.0,,1377.0,fatigue,mavie,,driver related,road crash incident,7.0,Straight News,,,,,,inquirer,yes,no,,,7:20 AM,"Bus hits delivery truck on SLEx, 2 hurt | Inquirer News",Neutral,"Commercial use, Public utility vehicle","bus, delivery truck"
2014-01-02,,,,"A freak bus accident disrupted early morning rush-hour traffic on Commonwealth Avenue in Quezon City on the first working day of 2014. Traffic at the portion bound for Quezon Memorial Circle was stopped due to the accident involving a Universal Guiding Star bus (TXW-173), radio dzBB's Paulo Santos reported. Driver Manolito Agustin claimed he was trying to avoid hitting a jeep that he said suddenly cut in front of him to pick up passengers. While no one was injured in the incident, several of the passengers accused Agustin of speeding and driving recklessly. Agustin now faces charges of reckless imprudence resulting in damage to property, the report said. ",,,,yes,2014-01-02 00:00:00,road crashes,,1.0,,,,,,english,no,http://www.gmanetwork.com/news/story/342120/news/metromanila/bus-accident-disrupts-commonwealth-ave-traffic-on-1st-workday-of-2014,"NCR, Quezon City, Commonwealth Avenue","quezon, quezon city",text,,127.0,,1149.0,speeding,mavie,"The driver of the Universal Guiding Star bus, Manolito Agustin, was said to be speeding and driving recklessly. He may be charged with reckless imprudence resulting to damage to property though the article failed to mention what property was damaged as a result of the crash. No reported fatalities or injuries. ",driver related,road crash incident,6.5,Straight News,,,,,,gmanetwork,yes,no,,,Early Morning,Bus accident disrupts Commonwealth Ave. traffic on 1st workday of 2014 | News | GMA News Online,Neutral,Public utility vehicle,bus
2014-01-02,,,,"Bus terminals in Metro Manila began to be crowded early Thursday, the first working day of 2014, as Filipinos started returning from the provinces after the long holiday break. In Pasay City, busloads of vacationers from the provinces arrived in terminals before dawn, radio dzBB's Manny Vargas reported. Many of the passengers were from Bicol, Iloilo and even Typhoon Yolanda-hit Ormoc City in Leyte, the report said. The report quoted passengers as saying they returned early to avoid the expected rush back to Metro Manila this weekend. However, traffic near the terminals was tight as taxi drivers and porters jostled for position to get clients. Meanwhile, Metro Manila police chief Director Carmelo Valmoria reminded his forces to remain on guard at bus terminals. As early as Wednesday afternoon, queues started forming there as the long holiday break finally came to an end. One bus company noted on its Twitter account that long lines started to form at its terminals in Metro Manila. It advised its passengers: Filipinos who spent the holidays with their families in their home provinces are expected to start returning to Metro Manila as many of them resume work on Thursday, Jan. 2. Meanwhile, the in effect. ""REMINDER: The number coding scheme is IMPLEMENTED starting today, Thursday, January 2, 2014,"" it said. ",,,,yes,2014-01-02 00:00:00,"reports on traffic congestion,traffic advisories,traffic management schemes",,,,,,,,english,,http://www.gmanetwork.com/news/story/342106/news/metromanila/pinoys-returning-to-ncr-from-holiday-break-number-coding-for-motorists-back,,"ormoc, metro manila, manila, pasay, iloilo",text,,624.0,,1515.0,,pia,,,traffic congestion,5.0,-,,,,,,gmanetwork,no,,,,,Pinoys returning to NCR from holiday break; number coding for motorists back | News | GMA News Online,,,
2014-01-03,,,,"Isang panukalang batas ang inihain sa Kamara de Representantes na naglalayong ipagbawal sa mga sasakyan ang paggamit ng sobrang liwanag na headlight na tinatawag na High Intensity Discharge (HID) o Xenon headlamps. Ayon kina Bayan Muna party-list Reps. Neri Javier Colmenares at Carlos Isagani Zarate, ang naturang uri ng headlights ay pinagmumulan ng disgrasya sa kalye dahil nakakasilaw sa mga kasalubong na sasakyan. ""Many countries have prohibited or regulated the use of these headlamps precisely in response to the threat to road safety posed by its use,"" pahayag ni Colmenares sa inihaing House Bill No. 2616, o ""An Act Prohibiting the Use of High Intensity Discharge (HID) Headlamps."" Nitong nakaraang Disyembre, isang siyam na taong gulang na babae ang naospital matapos barilin ng hindi nakilalang suspek ang sinasakyang kotse ng biktima sa Quezon City. Ayon sa ama ng biktima na nagmamaneho ng sasakyan, nakasalubong at sinita niya ang suspek dahil sa sobrang lakas ng headlight ng sinasakyan nitong puting Hyundai sports utility vehicle (SUV).  Ang naturang insidente ng pamamaril ay nakunan sa closed-circuit television cameras. Ayon kay Zarate, layunin ng kanilang panukalang batas na matugunan ang problema tungkol sa mga aksidente sa kalye dulot ng hindi pagsunod ng ilang motorista sa tamang ilaw na ginagamit sa headlight. Batay umano sa 2008 statistics ng Department of Health (DOH), pang-apat na dahilan ng kamakatayan sa Pilipinas ang aksidente sa kalye. ""The use of these HID headlamps in vehicles, including refitting of tungsten-halogen headlamps to HID headlamps, is not in consonance with traffic safety standards,"" paliwanag ng kongresista. Kadalasan din umanong nagaganap sa gabi ang mga sakuna sa kalye o madidilim na lugar kung saan kailangang gamitan ng ilaw ang sasakyan. ""The HID headlamp produces excessively bright white lights and the glare can distract drivers of approaching vehicles which may result in serious accidents endangering other vehicles and pedestrians,"" dagdag ni Zarate. Sa ilalim ng panukala, pagmumultahin ng P100,000 ang mga mahuhuling nagbebenta ng mga ipinagbabawal na ilaw, habang P10,000 naman ang multa sa mga motoristang gagamit ng HID headlamp. -- ",Dad of 9-year-old victim asks netizens help identifying road-rage shooter,,Bayan Muna partylist,yes,2014-01-03 00:00:00,"formulation of legislationlocal ordinances,headlights regulation",,,,,,,,tagalog,,http://www.gmanetwork.com/news/story/342236/ulatfilipino/balitangpinoy/sobrang-liwanag-na-headlight-sa-mga-sasakyan-nais-ipagbawal,,,text,,86.0,,1268.0,,mavie,,,"vehicle safety and maintenance, policy and legislation",7.0,Straight News,,,,,,gmanetwork,no,,,,,"Sobrang liwanag na headlight sa mga sasakyan, nais ipagbawal | Ulat Filipino | GMA News Online",Neutral,,
2014-01-03,,,,"MANILA, PhilippinesIts time to clean up the bureaucracy, and one agency that needs to go is the Road Board, which serves as just another unnecessary layer in the process of using the taxes collected from motorists to make roads safer and better, said Valenzuela Rep. Sherwin Gatchalian. Gatchalian has revived the idea of abolishing the Road Board, saying the Department of Public Works and Highways (DPWH) and Department of Transportation and Communications (DOTC) could very well handle the use of the funds from the motor vehicle users charge (MVUC), or the road users tax. The Road Board is in charge of overseeing the use of the MVUC to maintain and improve roads, make them safer, and lessen air pollution. The board is headed by the DPWH secretary as ex-officio head, while the heads of the DOTC and the budget and finance departments serve as ex-officio members. Its three other members are officials from transport and motorists organizations. There have been earlier proposals to abolish the Road Board amid allegations of irregularities, such as using the road users tax for nonpriority or nonrelated projects. These proposals have gone nowhere, however. Gatchalian, in the bill he filed in late December, said the use of the MVUC for various road improvement projects could still continue. It is just the Road Board that needs to go, he said. He argued that since the DPWH and the DOTC are the ones handling the funds from the MVUC, it would be appropriate and practical to delegate the function of the laws implementation to the agencies which are its primary implementers. This way, a layer of the bureaucracy is removed, making the system efficient and prompt in its service to the people, he said. The Gatchalian bill seeks to direct the DPWH and DOTC secretaries to come up with new implementing rules and regulations for the collection and disbursement of the road users tax. It also prohibits the two department heads from creating another secretariat to oversee the funds use. Gatchalian said a streamlined bureaucracy is an important component of the Aquino administration program to improve the economy. The thrust of our government is to scrap nonessential and redundant programs and services for reallocation to much-needed infrastructure projects, and for augmentation of the health and social services program of the President that will benefit our people, for an all-inclusive growth, he said.",Leila B. Salaverria,"7:38 AM | Friday, January 3rd, 2014","Department of Transportation and Communication, LTFRB, Department of Public Works and Highways",yes,2014-01-03 00:00:00,enforcement of existing lawsordinances,,,,,,,,english,,http://newsinfo.inquirer.net/556837/legislator-seeks-abolition-of-road-board,,valenzuela,text,,420.0,,70.0,,candice,,,traffic enforcement and violations,5.5,Straight News,,,,,,inquirer,no,no,,,,Legislator seeks abolition of Road Board | Inquirer News,Neutral,,
2014-01-04,,injured:2,,"A boom truck emerged from the SRP Tunnel in Cebu City at high speed and crashed into the rear of a Sports Utility Vehicle, triggering a six-vehicle smashup past 4 p.m. yesterday. The collision injured the driver of the Toyoto Revo and a married couple on board. It could have been worse as the impact had a domino effect on several north-bound vehicles on the South Osmena Road exit. The couple, 58-year-old Henson Go and his wife Norma, were rushed to Chong Hua Hospital with their driver, Pedro Dublin of barangay Subangdaku, Mandaue City. Initial reports said their injuries were minor. Henson was sitting beside the driver while his wife was in the back seat. The accident took place as rush hour traffic was building up. The Rosch-7 truck with four men on board belonged to a private contractor of the Visayan Electric Company (Veco). It came from Talisay city after installing a high voltage transformer. Traffic aide Hector Arcenal said the truck driver was speeding on his way out of the tunnel heading to Cebu City and that he misjudged the traffic ahead where cars had slowed down for a stop light on South Osmea Road exit. Padung siya saka unya kusog kaayo ang dagan. Wala to siya nag-anticipate. Ga-tuo siyag lahos-lahos, he said. (The driver was heading upward and going at high speed. He didnt anticipate that cars ahead. He though it was straight-through traffic.) The contractors truck first rammed the rear bumper of the Toyota Revo with plate number GPY-418. This pushed the SUV forward to hit a black Mitsubishi Strada pickup . The force caused the pickups back portion to rear up in the air and land on the front hood of the red and silver Toyota Revo. Further ahead, the pickup also rearended a Kia Spectra which crashed into a Mitsubishi L300 Van that later struck a multicab. Lineman Rustom Antonio, 29, said their team of four in the Rosch -7 truck was heading back to the office in Talamban, Cebu City to call it a day when the mishap occurred. The driver Parcial Gildardo, 53, was missing right after the collision when paramedics and police rushed to the crash site. Gildardo later showed up at the Citom office, where he said he went to get help. PO3 Welfredo Caperida, traffic investigator, said the truck drivers license would be confiscated by the Land Transportation Office (LTO) pending investigation. Its up to the parties whether they would file a criminal complaint, he said. He said car owners involved would file damage reports and the police would wait to see if a settlement would be reached for insurance claims to cover the cost of damage. PO3 Caperida said yesterdays accident was a case of overspeeding. He said drivers should always adopt defensive driving to avoid accidents and be conscious of traffic conditions and vehicles around them. The damaged cars have been brought to the CITOM office for further investigation.",Bjorn Abraham Tabanera,"2:26 AM | Saturday, January 4th, 2014","Philippine National Police, CITOM",yes,2014-01-04 00:00:00,road crashes,,6.0,3.0,"name: Pedro Dublin, gender: male, profession: driver, ridergroup: AUV driver, medicalcondition: minor injuries, others: resident of Barangay Subongdaku in Mandaue City /
name: Henson Go, age: 58, gender: male, ridergroup: passenger; medicalcondition: minor injuries, others: employer of Pedro Dublin and husband of Norma Go /
name: Norma Go, gender: female, ridergroup: passenger; medicalcondition: minor injuries, others: wife of Henson Go /",,,,english,no,http://newsinfo.inquirer.net/557463/suv-driver-2-passengers-injured-contractors-truck-was-overspeeding-at-exit-of-srp-tunnel-says-citom,"Cebu, Cebu City , SRP Tunner","cebu, cebu city, mandaue, talisay",text,#SRPtunnelcrash,44.0,,1757.0,speeding,mavie,"This report was subsequently updated with more details:
https://traffic-news.herokuapp.com/post/93/edit/",driver related,road crash incident,7.5,Straight News,,,,,defensive driving and traffic awareness for drivers,inquirer,yes,no,,,4:00 PM,"SUV driver, 2 passengers injured; contractors truck was overspeeding at exit of  SRP tunnel, says Citom | Inquirer News",Neutral,"Private use vehicle, Commercial use","car, van, truck, Asian Utility Vehicle FX, multicab"
2014-01-04,,dies:1,,"MANILA -- A motorcycle rider died after he figured in an accident along the southbound lane of EDSA across SM Megamall early morning on Saturday. The victim was identified as 29-year-old Ryan Ragas, a security guard from Bulacan, based on the driver's license recovered from him. According to witnesses, Ragas had figured in an altercation with another motorcycle rider before the accident occurred at around 5:40 a.m. Ragas, who sustained wounds in the head, was rushed to the Mandaluyong City Medical Center. He died at the hospital at 8:20 a.m., according to his aunt Beth de Ocampo. The victim's helmet was found a few meters away from his body. Authorities suspect he was not wearing his helmet at the time of the accident. Police are now looking if a closed-circuit television (CCTV) camera was able to capture the incident. --","Report from Dennis Datu, dzMM",ABS-CBNnews.com,Local police,yes,2014-01-04 00:00:00,road crashes,,2.0,,,,1.0,name: Ryan Ragas; age: 29; profession: security guard; ridergroup: motorcycle driver; residence: Bulacan; hospital: Mandaluyong City Medical Center; /,english,no,http://www.abs-cbnnews.com/nation/metro-manila/01/04/14/motorcycle-rider-dies-edsa-mishap,"Metro Manila, Mandaluyong, EDSA","mandaluyong, bulacan",text,,344.0,,1165.0,altercation with another motorcycle driver,candice,,driver related,road crash incident,5.5,Straight News,,,,,,abs-cbnnews,yes,no,,,5:40 AM,Motorcycle rider dies in EDSA mishap,Neutral,Private use vehicle,motorcycle
2014-01-06,,killed:2,,"URDANETA CITY, Pangasinan  Two persons died when a bus burst into flames after it collided head on with a motorcycle early Monday on the national highway in this city in Pangasinan province. Superintendent Jeff Fanged, Urdaneta police chief, identified the victims as Joseph Quiban, 32, the motorcycle driver, and his companion Lyndon Ordanez, 18. Their companion, Julius Pulido, 23, survived after he was thrown off the motorcycle. Fanged said the Partas bus, which came from Ilocos Norte, was cruising along the national highway in Barangay Anonas here at 4 a.m. when the motorcycle hit it. The motorcycle, which was northbound, encroached on the southbound lane. After the impact, the motorcycle slid under the bus, Fanged said. He said that as the bus dragged the motorcycle, the friction created sparks that ignited the spilled gasoline from the motorcycle. The motorcycles gas tank eventually exploded, setting the bus on fire, Fanged said. He said no one among the 49 bus passengers was hurt as they were able to alight from the bus before it was engulfed by fire. Fanged said Pulido admitted to investigators that all of them on the motorcycle were drunk, having just come from a drinking session in this city. They were on their way home to Barangay Balligi in neighboring Laoac town.",Gabriel Cardinoza,"12:41 PM | Monday, January 6th, 2014",Philippine National Police,yes,2014-01-06 00:00:00,road crashes,,2.0,,,,2.0,"name: Joseph Quiban; age: 32; gender: male; ridergroup: motorcycle driver; causeofdeath: explosion after vehicle collision; /
name: Lyndon Ordanez; age: 18; gender: male; ridergroup: motorcycle driver; causeofdeath: explosion after vehicle collision; /",english,no,http://newsinfo.inquirer.net/558689/2-killed-pangasinan-road-accident,"Pangasinan, Urdaneta, National Highway, Barangay Anonas","urdaneta, pangasinan",text,,319.0,,361.0,alcohol,mavie,,driver related,road crash incident,6.0,Straight News,,,liableparty: motorcycle driver: status: killed by the crash,,,inquirer,yes,no,,,4:00 AM,2 killed in Pangasinan road accident | Inquirer News,Neutral,"Private use vehicle, Public utility vehicle","motorcycle, bus"
2014-01-04,,,,"The Quezon City council has enacted a measure against operators of private emission testing centers (PETCs) that issue clearances to vehicles without actually testing or even seeing them. PETCs are shops accredited by Land Transportation Office (LTO), which requires vehicles to undergo smoke emission tests and check if they meet environmental standards before their registration papers can be renewed. The LTO also requires it for imported or reconfigured vehicles. Unscrupulous PETCs have been issuing certificates of emission compliance, or CETCs, despite the non-appearance of the concerned vehicles, according to the council, which noted that this racket had been on the rise since 2010. They face fines ranging from P3,000 to P5,000 or can have their business permits revoked under the recently passed PETC Regulation Ordinance, which now awaits the signature of Mayor Herbert Bautista. The ordinance is silent, however, on what awaits vehicle owners caught taking advantage of the scheme. The council said the practice could be blamed for the continued proliferation of smoke-belching vehicles in the city, stressing that the ordinance was necessary to ensure honest-to-goodness emission tests and strict compliance with the Clean Air Act of 1999. All new and existing PETCs within the territorial jurisdiction of Quezon City shall be strictly monitored and inspected by the city governments business permit and licensing office (BPLO) and the environmental protection and waste management division (EPWMD), the ordinance said. All local PETCs will also be required to submit their authorization and accreditation papers from the transportation and trade departments when they apply for or renew their business permits at the BPLO. The EPWMD is ordered to ensure that PETCs in the city have testing lanes, employ emission control technicians certified by the Technical Education and Skills Development Authority (Tesda), and are compliant with testing and calibration standards.",Jeannette I. Andrade,"3:33 AM | Saturday, January 4th, 2014","LTO, Quezon City Council, TESDA",yes,2014-01-04 00:00:00,"enforcement of existing lawsordinances,emission testing",,,,,,,,english,,http://newsinfo.inquirer.net/557481/qc-sets-clampdown-on-bogus-vehicle-emission-tests,,"quezon, quezon city",text,,912.0,,1585.0,,pia,,,"vehicle safety and maintenance, traffic enforcement and violations",4.5,Straight News,,,,,,inquirer,no,,,,,QC sets clampdown on bogus vehicle emission tests | Inquirer News,Neutral,,
2014-01-05,,,Vehicle users,"No charges were filed against the truck driver who caused the six-car pileup outside the South Road Properties (SRP) tunnel Friday afternoon. Instead, the motorists who figured in the collision reached a temporary agreement to file damage reports with Rosch-7, the private contractor that employs 53-year-old truck driver Gildardo Barcial (not Parcial Gildardo as r reported here earlier). Welfredo Caperida, investigator of the Cebu City Integrated Traffic Operations Management (Citom), said the motorists met with a representative of Rosch-7, a contractor of the Visayan Electric Co. (Veco), at the Citom office an hour after the accident which took place at 4 p.m. Ipa-estimate usa ilang damage, unya ug naa na sa ila, ilahang ihatag sa Rosch-7, (The victims involved were told to submit to Rosch-7 the cost of damage they sustained, Caperida said. Since no complaint was filed, Barcial was not detained. A settlement may be finalized tomorrow, Caperida said. Among those who attended the meeting was the lawyer of 58-year-old Henson Go and his wife Norma, who were passengers in the Toyota Revo van that was hit in the rear by Barcials boom truck. The couple were confined at Chong Hua Hospital for injuries. Their driver, Pedro Dublin of barangay Subangdaku, Mandaue City was moved to the St. Vincent General Hospital at Osmea Boulevard, Cebu City. The van driver and Henson Go, who sat in the front, sustained injuries in the hands and feet while Norma injured her back. Citoms Caperida said drivers should observe the 60 kph speed limit at the SRP and the 40 kph speed limit inside the tunnel. Last Friday, traffic aide Hector Arcenal said the truck driver was overspeeding as he emerged from the tunnel in Cebu City. He said the driver failed to anticipate the vehicles up ahead slowing down for the stop light at the South Osmea road exit. Barcial rear-ended a Toyota Revo, which then hit a black Mitsubishi Strada whose rear landed on the front hood of the red and silver SUV. The collision also caused a Kia Spectra to crash into an L300 van which then hit a multi-cab. Correspondent Bjorn Abraham Tabanera",,"7:08 AM | Sunday, January 5th, 2014",Cebu City Integrated Traffic Operations Management  CITOM,yes,2014-01-05 00:00:00,filing of damage reports about a 6vehicle crash in srp tunnel,,,,,,,,english,,http://newsinfo.inquirer.net/557951/truck-driver-spared-drivers-agree-on-deal,,"cebu, cebu city, mandaue",text,#SRPtunnelcrash,33.0,,93.0,,mavie,"This is a follow-up report to a story published earlier in Inquirer.
https://traffic-news.herokuapp.com/post/1757/edit/",,road crash incident,8.0,Straight News,,,,,enforcment of speed limits,inquirer,yes,no,,,,Truck driver spared; drivers agree on deal   | Inquirer News,Neutral,,
